Store_Name,Aug,Sep,Oct,Nov,Dec,Average_Attach,Volatility,Cluster
Pune(Dhankawadi-Satara Rd),0.13,0.21,0.2,0.28,0.12,0.188,0.05844655678480984,2
Pune(Hadapsar),0.6,0.67,0.71,0.62,0.33,0.5860000000000001,0.13365627557282897,3
Pune(Hinjewadi) Br,0.03,0.23,0.27,0.38,0.21,0.22400000000000003,0.1134195750300626,2
Pune(Kondhawa),0.28,0.35,0.35,0.61,0.48,0.414,0.11740528097151336,3
Pune(Kothrud) Br,0.37,0.29,0.24,0.3,0.29,0.298,0.04166533331199932,3
Pune(Nagar Road) Br,0.21,0.11,0.17,0.35,0.46,0.26,0.12743625857659194,2
Pune(Rahatni) Br,0.13,0.22,0.16,0.19,0.23,0.186,0.03720215047547655,2
Pune(S Bapat Rd),0.27,0.29,0.26,0.33,0.54,0.338,0.10380751417888785,3
Pune(Satara Rd) Br,0.26,0.45,0.27,0.22,0.06,0.252,0.12448293055676349,2
Pune(Solapur Rd) Br,0.07,0.14,0.19,0.31,0.3,0.202,0.09239047569960877,2
Pune(Station Rd) Br,0.14,0.36,0.19,0.21,0.13,0.20599999999999996,0.08260750571225352,2
Pune(Tilak Rd)Br,0.02,0.08,0.14,0.29,0.0,0.10600000000000001,0.10423051376636305,1
Santacruz Br,0.01,0.1,0.1,0.24,0.6,0.21000000000000002,0.20842264752180845,0
Sion Br,0.23,0.38,0.2,0.22,0.13,0.23200000000000004,0.08182909018191514,2
Surat Br,0.05,0.06,0.16,0.15,0.2,0.12400000000000003,0.05885575587824865,1
Surat(Bhatar),0.12,0.11,0.14,0.04,0.22,0.126,0.057827329179203836,1
Surat(Mota Varachha),0.09,0.0,0.14,0.15,0.23,0.122,0.07573638491504596,1
Surat(Parvat Patiya),0.06,0.23,0.23,0.18,0.2,0.18,0.0629285308902091,2
Surat(Rander Rd) Br,0.23,0.21,0.17,0.14,0.3,0.21000000000000002,0.054772255750516606,2
Surat(Varachha) Br,0.16,0.18,0.16,0.2,0.2,0.18,0.017888543819998323,2
Surat(Ved Road),0.08,0.08,0.13,0.28,0.29,0.17200000000000001,0.09410632284814872,2
Surat(Vip Road-Vesu),0.05,0.13,0.14,0.12,0.0,0.088,0.05418486873657627,1
Thane Br,0.14,0.41,0.25,0.15,0.03,0.196,0.12768711759609894,2
Ts(A.S.Rao Nagar),0.0,0.15,0.17,0.19,0.08,0.118,0.0696850055607374,1
Ts(Attapur),0.03,0.11,0.02,0.13,0.29,0.11600000000000002,0.09707728879609277,1
Ts(Bhel),0.17,0.15,0.07,0.23,0.83,0.29,0.2748090245970827,0
Ts(Boduppal),0.1,0.04,0.11,0.24,0.22,0.142,0.076,2
Ts(Chandrayangutta),0.04,0.1,0.06,0.12,0.18,0.1,0.04898979485566356,1
Ts(Chintalkunta),0.04,0.2,0.07,0.09,0.14,0.10800000000000001,0.056356011214421485,1
Ts(Hastinapur),0.16,0.1,0.17,0.24,0.15,0.164,0.04498888751680797,2
Ts(Hayathnagar),0.07,0.0,0.07,0.11,0.0,0.05,0.0433589667773576,1
Ts(Jubilee Hills),0.14,0.07,0.04,0.15,0.0,0.08,0.057619441163551735,1
Ts(Karmanghat),0.11,0.08,0.16,0.18,0.1,0.126,0.03773592452822641,1
Ts(Kompally),0.02,0.15,0.11,0.24,0.25,0.154,0.08546344247688599,2
Ts(Kompally- Golden Plaza),0.0,0.1,0.14,0.32,0.13,0.138,0.10361467077590895,2
Ts(Kondapur),0.17,0.14,0.13,0.42,0.56,0.28400000000000003,0.17442476888332117,0
Ts(Kothapet),0.15,0.08,0.2,0.32,0.25,0.2,0.08221921916437787,2
Ts(Kukatpally),0.0,0.0,0.04,0.13,0.38,0.11000000000000001,0.14310835055998655,1
Ts(Madinaguda),0.12,0.07,0.17,0.2,0.0,0.11200000000000002,0.071386273190299,1
Ts(Mailardevpally),0.04,0.14,0.04,0.31,0.29,0.164,0.11706408501329517,2
Ts(Malakpet),0.03,0.05,0.06,0.19,0.14,0.094,0.06086049621881176,1
Ts(Mehdipatnam),0.07,0.0,0.0,0.32,0.33,0.144,0.15001333274079343,2
Ts(Nacharam),0.14,0.0,0.07,0.21,0.29,0.142,0.10186265262597474,2
Ts(Nagaram),0.17,0.1,0.12,0.25,0.0,0.128,0.08231646250902672,1
Ts(Nagole),0.08,0.11,0.1,0.16,0.13,0.11600000000000002,0.027276363393971714,1
Ts(Nallakunta),0.16,0.0,0.1,0.16,0.29,0.142,0.09431860898041275,2
Ts(Paradise Circle),0.18,0.2,0.11,0.22,0.15,0.172,0.038678159211627434,2
Ts(Punjagutta),0.06,0.13,0.05,0.18,0.2,0.124,0.06086049621881176,1
Ts(R C Puram),0.17,0.08,0.1,0.18,0.07,0.12000000000000002,0.04604345773288535,1
Ts(Shah Ali Banda),0.04,0.17,0.11,0.14,0.18,0.128,0.05035871324805668,1
Ts(Sun City),0.0,0.08,0.18,0.36,0.2,0.164,0.12158947322856531,2
Ts(Tolichowki- Aditya Ngr),0.21,0.09,0.11,0.17,0.31,0.178,0.078587530817554,2
Ts(Vivekananda Nagar),0.04,0.0,0.08,0.31,0.31,0.148,0.1346699669562594,2
Ts(Warangal),0.0,0.0,0.04,0.03,0.13,0.04,0.047749345545253286,1
Ts(Wrg-Pochamma Maidan),0.0,0.0,0.04,0.03,0.14,0.042,0.051536394906900505,1
Ulhasnagar Br,0.0,0.0,0.08,0.03,0.0,0.022,0.031240998703626618,1
Up (Noida Sec.18) Br,0.21,0.26,0.21,0.22,0.19,0.21799999999999997,0.023151673805580458,2
Up(Gaur Chowk),0.17,0.17,0.1,0.05,0.06,0.11000000000000001,0.051768716422179145,1
Up(Greater Noida) Br,0.43,0.41,0.3,0.36,0.25,0.35,0.06723094525588644,3
Up(Indirapuram) Br,0.03,0.15,0.18,0.24,0.13,0.146,0.06887670143089025,2
Up(Raj Nagar Dc) Br,0.16,0.26,0.27,0.41,0.4,0.3,0.09402127418834526,3
Vadodara(Alkapuri) Br,0.12,0.13,0.08,0.13,0.18,0.128,0.03187475490101845,1
Vadodara(Kareli Baug),0.03,0.12,0.16,0.08,0.2,0.11800000000000002,0.05946427498927402,1
Vadodara(Kothi Road),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Vadodara(Manjalpur) Br,0.01,0.0,0.15,0.12,0.25,0.10600000000000001,0.09308061022576077,1
Vasai Br,0.12,0.25,0.07,0.1,0.07,0.12200000000000003,0.06675327707311456,1
Vashi Br,0.11,0.15,0.11,0.15,0.11,0.126,0.01959591794226542,1
Virar Br,0.06,0.11,0.16,0.1,0.24,0.13399999999999998,0.061838499334961224,1
